epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
89,68944.6,0.99028,0.48974,0.00638,0.80002,0.74162,0.78971,0.4835,1.21102,0.89124,0.01313,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,69713.5,0.9896,0.49209,0.00628,0.79731,0.74403,0.78946,0.48266,1.21272,0.89172,0.01317,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,70487.7,0.94705,0.38356,0.00659,0.79809,0.74294,0.7892,0.4828,1.21326,0.8905,0.01315,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,71260.1,0.92693,0.36753,0.00632,0.79838,0.74428,0.78944,0.48342,1.21177,0.89194,0.01314,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,72032.4,0.90245,0.34825,0.00612,0.7978,0.7444,0.78987,0.4837,1.2117,0.89597,0.01314,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,72805.1,0.89001,0.34856,0.00594,0.7957,0.74395,0.78871,0.48358,1.21252,0.89924,0.01314,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,73577,0.87725,0.33828,0.0058,0.79898,0.74277,0.7895,0.48381,1.21428,0.89685,0.01317,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,74348.8,0.87448,0.33476,0.00567,0.79635,0.74438,0.78991,0.48447,1.21461,0.89872,0.01317,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,75121.9,0.85934,0.32634,0.00562,0.79782,0.74349,0.7891,0.48406,1.21382,0.90087,0.01317,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,75893.1,0.85048,0.32787,0.00555,0.7978,0.74459,0.78907,0.48385,1.21411,0.89941,0.01318,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,76665.5,0.83856,0.3247,0.00539,0.79689,0.74484,0.78856,0.48383,1.21535,0.89816,0.01321,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,77438,0.82703,0.3159,0.00531,0.79885,0.74467,0.78836,0.48429,1.21565,0.89784,0.01324,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
